#begin,end,prob
0,50,0.0464157404
50,100,0.1233234229
100,150,0.1534452673
150,200,0.1247955895
200,250,0.0989380936
250,300,0.0702472938
300,350,0.0367452233
350,400,0.012185811
400,450,0.007417033
450,500,0.0032308163
500,550,0.0049853537
550,600,0.0030800357
600,650,0.0043945681
650,700,0.0057735249
700,750,0.0056200028
750,800,0.0059709103
800,850,0.0043602998
850,900,0.0055034906
900,950,0.0053650466
950,1000,0.0152727004
1000,1050,0.0217521524
1050,1100,0.0213697181
1100,1150,0.0199688295
1150,1200,0.0225129089
1200,1250,0.0224279235
1250,1300,0.0275243065
1300,1350,0.0320463527
1350,1400,0.0316460988
1400,1450,0.0301040249
1450,1500,0.0228528505
1500,1550,0.0093305754
1550,1600,0.0013940348
